id,price,surface,bedrooms,restrooms,location_name,Terraza,Ascensor,Piscina,Calefacción
564310,630,131,3,2,A Coruña,0,1,0,0
564311,550,70,2,1,A Coruña,0,0,0,0
564313,525,75,2,1,A Coruña,0,0,0,0
564316,430,90,4,2,A Coruña,0,0,0,0
564317,890,80,2,2,A Coruña,0,1,0,0
564318,600,78,3,1,A Coruña,0,0,0,0
564319,475,65,2,1,A Coruña,0,0,0,0
564322,430,62,2,1,A Coruña,0,1,0,0
564325,490,80,3,2,A Coruña,0,0,0,0
564327,500,70,2,1,A Coruña,0,0,0,0
564329,900,114,4,2,A Coruña,0,0,0,1
564330,550,95,3,2,A Coruña,0,1,0,0
564335,850,285,4,5,A Coruña,1,0,0,0
564337,1000,146,4,2,A Coruña,1,0,0,0
564339,395,84,3,1,A Coruña,0,1,0,0
564340,850,285,4,5,A Coruña,1,0,0,0
564341,650,77,3,1,A Coruña,0,0,0,0
564342,550,90,3,2,A Coruña,0,1,0,0
564343,300,75,3,1,A Coruña,0,0,0,0
564344,310,85,2,1,A Coruña,0,0,0,0
564345,650,80,3,1,A Coruña,0,0,0,0
564346,700,61,1,1,A Coruña,0,0,0,1
